,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,g,hilb1,hilb2,hilb3,hilb4,hilb5,hilb6,e
f250,1,5,6,7,8,9,10,0,0,0,0,0,0,0,-1,1,1,1,1,2,3,-36
f251,1,1,1,1,1,1,2,2,0,0,0,0,0,0,4,6,22,55,113,202,330,-14
f252,1,1,1,1,1,1,2,2,0,0,0,0,0,0,4,6,22,55,113,202,330,-10
f253,1,1,1,1,1,1,2,2,0,0,0,0,0,0,4,6,22,55,113,202,330,-12
f254,1,1,1,1,1,1,2,3,0,0,0,0,0,0,4,6,21,53,108,193,315,-16
f255,1,1,1,1,1,1,2,3,0,0,0,0,0,0,4,6,21,53,108,193,315,-18
f256,1,1,1,1,1,1,2,3,0,0,0,0,0,0,4,6,21,53,108,193,315,-14
f257,1,1,1,1,1,1,1,2,0,0,0,0,0,0,5,7,26,66,136,244,399,-14
f258,1,1,1,1,1,1,1,2,0,0,0,0,0,0,5,7,26,66,136,244,399,-16
f259,1,1,1,1,1,1,1,2,0,0,0,0,0,0,5,7,26,66,136,244,399,-12
